taxon,appearance
Ctenocystis,2.0
Gyrocystis_platessa,9.0
Gyrocystis_testudiformis,15.5
Gyrocystis_cruzae,15.5
Gyrocystis_badulesiensis,15.5
Gyrocystis_erecta,20.0
Progyrocystis_disjuncta,15.5
Protocinctus_mansillaensis,1.0
Elliptocinctus_barrandei,20.0
Elliptocinctus_vizcainoi,12.0
Sucocystis_theronensis,20.0
Sucocystis_bretoni,24.0
Lignanicystis_barriosensis,20.0
Undatacinctus_undata,24.0
Sucocystis_acrofera,27.0
Undatacinctus_quadricornuta,24.0
Undatacinctus_melendezi,26.0
Asturicystis_jaekeli,9.0
Sotocinctus_ubaghsi,4.0
Trochocystites_bohemicus,6.5
Trochocystoides_parvus,12.0
Ludwigicinctus_truncatus,20.0
Graciacystis_ambigua,9.0
Asturicystis_havliceki,6.5
Nelegerocystis_ivantzovi,4.0
Rozanovicystis_triangularis,4.0
Davidocinctus_pembrokensis,12.0